stop_loss_pct,take_profit_pct,total_trades,wins,losses,win_rate,gross_pnl,net_pnl,net_expectancy,max_drawdown_pct,sharpe_ratio,profit_factor,final_capital
-13.0,7.000000000000001,55,38,17,0.6909,1.1448,-0.7888,-0.0143,0.0076,-0.4149,0.9673,998.51
-13.0,9.0,55,38,17,0.6909,2.616,0.6825,0.0124,0.0076,0.3463,1.0283,999.98
-13.0,11.0,55,38,17,0.6909,3.7124,1.7788,0.0323,0.0076,0.8765,1.0736,1001.08
-13.0,13.0,55,38,17,0.6909,4.6097,2.6762,0.0487,0.0076,1.2842,1.1108,1001.98
-13.0,15.0,55,38,17,0.6909,4.3516,2.4181,0.044,0.0076,1.1667,1.1001,1001.72
-13.0,17.0,55,38,17,0.6909,4.2596,2.326,0.0423,0.0076,1.1258,1.0963,1001.63
-13.0,19.0,55,38,17,0.6909,4.2596,2.326,0.0423,0.0076,1.1258,1.0963,1001.63
-15.0,3.0,55,38,17,0.6909,-3.1319,-5.0665,-0.0921,0.0069,-3.1324,0.7747,994.24
-15.0,5.0,55,38,17,0.6909,-0.4988,-2.4334,-0.0442,0.006,-1.4143,0.8918,996.87
-15.0,7.000000000000001,55,38,17,0.6909,2.8091,0.8745,0.0159,0.0057,0.4755,1.0389,1000.18
-15.0,9.0,55,38,17,0.6909,4.2803,2.3457,0.0426,0.0057,1.2284,1.1043,1001.65
-15.0,11.0,55,38,17,0.6909,5.3767,3.4421,0.0626,0.0057,1.7476,1.1531,1002.75
-15.0,13.0,55,38,17,0.6909,6.2741,4.3395,0.0789,0.0057,2.143,1.193,1003.65
-15.0,15.0,55,38,17,0.6909,6.016,4.0814,0.0742,0.0057,2.027,1.1815,1003.39
-15.0,17.0,55,38,17,0.6909,5.9239,3.9893,0.0725,0.0057,1.9878,1.1774,1003.3
-15.0,19.0,55,38,17,0.6909,5.9239,3.9893,0.0725,0.0057,1.9878,1.1774,1003.3
